episode_id,query0,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12,query13,query14,query15,query16,query17,query18,query19,query20,query21,query22,query23,query24,query25,query26,query27,query28,query29,query30,query31,query32,query33,query34,query35,query36,query37,query38,query39,query40,query41,query42,query43,query44,query45,query46,query47,query48,query49,query50,query51,query52,query53,query54,query55,query56,query57,query58,query59,query60,query61,query62,query63,query64,query65,query66,query67,query68,query69,query70,query71,query72,query73,query74
14,4,1,4,4,4,4,0,4,4,4,4,3,3,3,4,0,4,1,3,4,4,4,1,4,4,0,4,4,4,0,3,1,4,0,3,4,1,0,1,4,1,4,1,3,4,1,4,4,4,4,4,4,1,1,4,4,4,3,3,4,4,4,0,1,1,4,3,1,3,4,4,3,4,4,1
15,0,1,4,4,4,3,4,4,0,1,4,1,4,1,0,3,3,1,4,1,3,4,1,0,1,4,0,1,3,4,0,1,1,0,0,4,4,2,0,3,0,1,1,2,3,0,4,1,3,3,3,4,3,4,0,2,1,2,4,1,3,4,3,4,0,3,0,3,1,3,0,3,3,0,0
16,0,4,0,4,2,4,0,2,0,0,0,0,0,0,4,4,2,4,2,0,2,0,0,2,0,2,0,0,0,0,3,0,2,0,0,0,4,2,2,3,3,0,0,0,2,0,4,0,0,0,0,0,4,0,0,4,0,4,2,0,3,0,4,0,2,0,2,4,0,0,0,0,0,0,0
17,0,4,4,0,1,2,2,1,4,1,1,3,2,2,1,4,3,0,3,4,4,1,2,4,0,3,4,3,2,3,2,4,1,0,3,4,3,0,0,2,4,1,1,1,3,3,4,3,3,4,1,2,0,0,1,2,4,4,1,1,4,1,4,2,4,0,3,4,0,4,1,0,3,1,4
18,1,0,0,1,4,3,0,1,0,4,4,1,0,4,4,4,0,4,4,0,0,0,0,4,0,2,1,4,0,3,1,0,0,4,1,0,4,4,0,0,4,0,0,0,4,0,1,0,2,4,0,3,1,1,4,4,4,4,4,1,0,3,1,0,1,4,4,4,1,4,4,4,4,0,0
19,1,2,2,3,4,0,4,4,2,2,4,4,2,3,4,4,2,0,4,4,4,4,1,4,4,2,2,1,2,2,4,4,4,1,2,0,1,2,2,1,4,1,2,1,2,2,1,3,0,1,1,1,4,2,4,2,2,1,2,2,4,2,2,2,2,2,2,2,0,1,2,2,2,2,4
20,0,1,0,3,0,4,3,4,3,3,0,2,0,3,0,0,1,0,0,0,0,0,0,0,2,0,3,4,0,3,0,0,0,3,3,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2
21,4,1,3,2,3,3,2,2,2,3,2,2,3,3,0,3,4,2,3,2,2,2,2,2,3,4,4,2,1,2,2,2,3,2,2,2,3,3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,3,3,3,2,2
22,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,1,2,2,2,3,2,1,2,0,1,1,3,2,2,2,2,4,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,4,2,2,1,2,3,3,2,2,2,1,3,1,2,3
23,2,4,1,4,4,4,1,1,4,1,4,1,4,1,4,1,4,4,4,4,1,4,1,4,2,4,4,4,1,4,2,1,1,4,4,4,1,4,4,4,2,4,2,4,1,3,4,4,3,4,4,4,4,2,4,1,4,4,4,4,1,1,1,1,4,1,4,1,2,4,1,2,4,1,4
24,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
25,4,3,4,4,0,1,3,0,4,0,4,4,1,0,4,4,3,4,4,2,4,0,3,0,3,3,3,4,0,0,4,0,0,0,4,1,1,0,4,0,0,3,0,0,1,3,1,0,3,0,3,4,0,4,0,4,4,0,0,0,4,0,4,4,3,0,0,3,0,1,4,3,0,0,0
26,2,0,3,1,0,3,0,3,3,2,1,3,2,2,1,0,4,3,2,2,3,3,2,1,2,2,1,0,2,1,3,3,3,2,2,3,4,1,2,3,1,2,2,0,2,2,0,0,2,3,3,3,2,1,3,2,2,2,4,2,2,0,2,2,4,2,2,1,2,1,0,1,1,2,4
27,2,2,2,2,4,2,2,2,2,4,4,2,3,3,3,1,1,3,1,2,1,1,3,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,4,2,1,2,1,2,2,2,2,2,1,1,1,4,2,2,1,2,2,2,1,2,3,2,1,4,4,2,2,1,3,3,2,1,1,1
28,2,2,2,2,2,4,2,2,0,3,2,2,2,2,2,2,4,2,0,2,4,2,2,2,0,2,2,2,2,2,2,0,0,2,3,2,4,2,4,2,2,3,4,4,2,2,2,2,2,4,2,3,4,2,2,2,2,2,4,2,2,2,2,4,2,2,2,3,3,4,2,2,2,2,2
29,1,0,4,3,2,4,3,3,2,3,2,2,3,4,3,1,4,4,2,2,2,2,2,4,2,2,4,4,3,3,2,2,2,2,1,3,1,4,2,1,3,2,0,2,3,2,2,2,2,2,4,3,2,4,2,2,4,4,2,2,4,4,3,4,4,2,4,3,4,1,2,2,2,1,2
30,1,1,1,1,1,1,0,1,0,1,1,0,1,2,2,1,1,1,1,1,2,1,1,0,1,2,1,1,1,1,4,2,1,1,1,1,1,4,1,1,1,2,4,1,2,1,0,1,0,2,2,0,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,4,1,0,2,1,1,1,1
31,2,2,2,3,0,0,0,0,0,0,2,3,2,2,3,2,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,2,0,0,2,0,0,2,2,3,0,2,0,4,2,2,0,0,2,0,3,0,0,0,0,2,0,0,2,0,2,2,0,2,0,2,2
32,2,2,2,2,3,4,2,3,2,3,4,2,4,2,1,2,2,2,2,0,2,2,2,2,2,2,4,3,2,1,2,2,2,2,2,2,4,2,2,0,2,0,4,2,2,2,2,1,2,2,2,3,0,1,2,4,3,2,2,4,2,3,4,0,2,4,4,1,2,3,4,4,0,3,1
33,0,3,0,1,4,3,3,4,0,3,0,4,4,3,3,3,3,3,4,3,3,0,0,4,3,0,4,0,0,0,0,1,1,0,0,3,3,1,1,0,4,2,0,4,3,1,0,3,3,4,0,0,3,3,4,4,0,0,3,3,0,2,3,2,0,3,3,3,3,0,0,0,3,3,0
34,1,0,4,1,0,0,0,3,0,3,1,1,3,1,0,1,0,1,0,0,1,4,1,1,1,4,1,0,0,4,4,0,0,0,1,0,0,1,1,1,0,3,1,0,0,1,4,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,4,1,1,0,0,3
35,0,0,4,0,0,3,0,3,3,1,0,0,0,0,1,0,4,0,0,0,3,4,0,0,2,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0
36,3,2,0,2,2,0,0,0,2,2,2,2,3,2,2,0,1,0,0,3,2,1,1,3,1,2,0,0,0,3,3,0,0,0,3,2,2,2,0,2,2,0,2,0,0,2,2,3,2,2,2,2,3,2,0,2,0,2,2,1,0,0,2,3,2,0,0,0,0,0,2,1,0,0,3
37,1,1,2,0,2,2,0,0,2,2,2,0,2,0,2,0,4,3,4,0,2,2,0,2,0,0,2,0,2,3,4,2,3,0,2,0,0,0,0,3,2,2,4,1,2,2,0,2,2,2,2,4,4,0,2,0,1,2,0,3,2,2,0,0,0,0,1,0,3,2,4,2,2,0,0
38,4,4,2,4,3,3,4,4,4,4,2,4,3,0,3,4,2,0,3,4,4,0,3,2,0,4,4,3,0,0,0,4,0,4,4,2,3,3,3,4,4,0,0,0,4,4,3,0,4,4,4,4,4,3,4,0,4,4,3,4,4,3,4,3,4,1,3,2,4,0,2,4,3,4,4
39,2,2,1,1,3,1,4,2,2,0,1,4,3,1,1,0,0,4,0,2,2,3,3,4,3,1,2,4,1,0,1,1,3,4,3,4,3,0,3,4,1,0,1,3,0,3,1,2,0,1,1,0,2,0,0,1,0,3,0,1,4,1,1,2,2,4,1,0,0,2,1,1,2,0,0
40,1,0,1,1,1,1,3,3,3,1,1,1,1,0,0,3,1,3,3,1,3,3,3,1,1,1,3,0,1,3,0,1,0,1,1,1,3,1,3,0,1,1,3,3,1,3,3,0,1,3,3,1,1,3,1,3,0,3,0,3,3,2,0,1,3,3,0,3,3,1,3,0,3,3,1
41,2,1,2,3,2,0,2,2,2,0,2,2,4,2,1,2,1,2,1,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,1,2,2,1,2,1,0,0,2,2,2,1,2,2,0,2,2,2,1,2,2,2,1,0,2,2,2,0,2,2,2,1,2,2,2,2,1,2,1,2,2
42,2,1,0,3,3,2,3,3,1,0,3,3,3,3,0,2,3,1,3,3,2,3,0,2,3,0,3,2,3,1,3,1,0,3,2,3,0,3,3,0,2,1,0,0,3,0,1,3,3,0,3,3,0,4,4,1,3,0,3,3,3,3,0,3,3,0,3,3,2,3,1,2,3,1,1
43,2,2,2,1,2,2,1,2,4,2,2,1,3,2,2,4,4,4,2,4,2,3,2,3,2,3,2,4,1,4,2,4,2,1,2,2,2,2,4,2,2,1,2,4,4,2,2,2,3,2,2,2,2,2,3,4,4,4,3,3,3,3,2,3,2,2,2,2,2,4,2,2,3,2,3
44,0,4,4,3,0,3,4,1,1,0,0,4,1,3,3,4,1,3,4,3,3,4,1,4,4,1,0,4,4,4,1,1,3,3,4,1,1,0,3,1,4,3,1,0,4,4,4,3,3,4,3,4,1,4,4,4,1,1,1,4,1,0,3,4,3,3,1,4,3,4,1,1,4,3,4
45,4,2,1,3,2,3,2,4,0,3,4,4,3,1,1,0,0,2,1,3,4,0,3,2,3,3,4,1,4,3,3,3,0,4,3,3,4,2,1,3,2,4,0,2,4,3,0,3,3,3,4,2,2,3,3,2,3,2,0,0,0,0,2,2,4,4,4,2,0,4,2,0,0,4,2
46,3,3,0,3,3,3,3,3,0,3,0,0,0,3,3,1,1,0,3,3,0,2,1,2,0,3,3,4,0,3,1,1,3,3,3,0,3,1,0,3,3,1,3,3,1,3,2,3,0,1,3,0,1,3,3,3,0,3,2,3,3,3,0,1,1,1,3,3,0,3,3,1,1,1,3
47,3,3,2,3,2,3,0,3,4,2,3,0,0,3,2,3,2,2,3,3,2,3,2,3,3,0,2,3,3,2,2,2,3,2,0,3,2,3,2,4,3,3,0,0,3,3,3,4,0,2,0,3,3,0,1,2,3,0,2,3,3,3,0,3,3,0,2,3,3,0,2,2,0,3,0
48,2,0,2,0,2,2,1,0,0,0,2,2,0,3,0,2,0,4,0,0,0,0,2,0,0,2,2,0,0,0,4,0,0,2,2,2,3,0,2,4,2,2,0,0,3,2,0,0,0,0,3,2,2,1,2,0,4,2,2,2,4,0,0,2,0,2,4,0,0,0,0,1,0,3,2
49,3,4,4,4,4,4,4,3,3,4,3,4,4,1,4,3,3,4,3,3,4,2,4,3,4,4,4,4,3,4,4,4,3,4,3,4,3,1,4,3,4,4,4,4,3,1,3,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,3,4,4,3
50,4,4,4,4,4,1,4,3,4,4,4,4,4,4,4,1,4,4,0,4,1,4,4,1,4,4,1,1,4,1,1,4,1,4,4,0,4,4,4,4,1,1,4,1,4,4,4,4,4,4,4,4,4,1,4,1,4,4,4,4,4,3,4,0,4,4,4,1,4,4,4,4,1,4,4
51,3,0,4,3,3,4,3,2,2,3,2,2,2,4,1,2,1,2,2,3,0,3,0,3,4,0,2,3,3,2,4,0,1,2,3,1,2,3,2,2,0,4,2,4,2,3,3,2,3,3,2,2,2,4,1,1,2,4,3,2,4,2,3,2,4,3,0,1,2,1,3,2,2,4,3
52,0,0,0,0,2,1,2,1,0,0,0,1,2,0,4,0,0,0,0,4,0,1,0,1,3,2,0,1,1,2,3,0,1,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,2,1,0,1,0,0,0,1,2,0,0,0,0,3,1,0,1,2,1,0,3,2,0,0,2,2
53,2,2,1,3,3,2,4,1,2,4,2,2,3,3,1,2,2,2,2,2,1,3,1,4,3,4,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,2,2,4,1,2,2,2,1,4,2,2,4,2,2,2,2,4,3,2,2,3,2,2,2,4,4,3,2
54,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3
55,1,2,4,3,3,0,3,3,3,0,3,0,4,3,1,3,3,0,3,2,3,1,3,2,3,3,0,2,4,1,3,0,0,3,4,3,3,1,3,3,3,4,3,1,3,3,1,1,3,1,3,4,3,4,3,0,4,3,4,4,4,1,3,3,3,2,2,3,1,3,0,3,4,1,4
56,1,3,1,1,1,2,1,1,3,3,3,4,1,0,1,1,2,3,3,1,2,3,3,1,1,2,4,0,1,3,4,3,2,2,2,3,0,4,1,1,2,1,2,2,1,4,2,0,4,2,4,4,2,2,1,1,1,1,4,4,1,1,1,1,0,3,3,3,1,4,0,4,3,3,1
57,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,3,4,4,4,0,4,0,4,4,2,4,4,4,4,4,4,4,4,4,0,4,0,4,3,4,4,4,1,4,4,4,4
58,3,3,2,2,2,0,2,3,3,4,1,3,3,1,3,1,1,3,0,3,3,1,2,3,1,4,0,0,2,3,4,0,3,4,3,2,2,0,2,3,2,1,4,1,3,0,2,3,3,3,0,2,1,3,2,4,4,3,2,0,0,3,2,1,2,3,1,3,0,3,3,0,1,3,1
59,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,4,4,0,0,0,0,3,0,3,0,4,0,0,0,0,3,4,0,0,4,3,0,4,0,3,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,3,3,3,0,3,0,3,0,0
60,1,0,0,4,3,1,0,4,1,1,4,1,3,3,1,1,2,3,2,4,3,3,4,2,4,2,3,1,0,1,3,1,0,1,1,0,1,3,4,4,4,1,3,4,0,3,4,1,4,1,1,0,1,3,1,4,0,3,1,4,3,2,2,1,4,3,1,1,3,0,0,4,4,4,1
61,1,2,2,2,1,2,2,2,4,2,4,2,1,4,0,1,3,2,3,2,4,2,4,1,2,4,2,2,3,4,2,2,0,1,4,4,1,4,1,4,4,4,4,4,1,4,1,0,1,2,2,3,1,4,1,1,4,4,4,1,4,4,4,4,0,4,2,1,4,4,0,1,2,1,4
62,2,2,2,3,0,1,2,1,0,4,2,4,2,2,2,2,0,0,0,0,2,1,2,0,2,2,1,0,4,1,0,4,2,2,0,2,2,4,4,1,2,4,0,2,0,0,4,1,2,4,2,4,4,0,0,2,0,0,1,1,4,2,2,4,2,4,4,2,2,4,3,1,1,0,2
63,0,3,3,3,0,0,0,0,0,0,1,3,2,0,0,3,2,2,3,3,0,3,3,4,0,3,0,0,0,0,0,3,0,0,3,0,3,0,2,0,4,0,0,3,0,0,3,0,0,0,0,4,4,4,0,0,3,3,4,0,3,0,3,0,0,0,0,4,0,3,4,4,0,3,0
64,1,4,1,1,4,4,2,4,1,0,4,4,1,1,4,1,1,3,4,1,1,1,4,1,1,1,1,1,1,1,0,1,2,4,1,1,0,4,0,4,1,4,1,1,1,2,4,1,1,1,2,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,2,1,1,1,1,1,1,1,0
65,0,3,0,3,3,2,3,3,3,3,3,3,0,3,3,3,3,3,4,3,3,0,3,2,3,3,0,0,3,2,3,3,2,3,3,0,3,2,3,3,3,0,3,2,2,0,3,3,3,3,3,3,3,2,3,3,3,0,3,0,3,3,3,3,2,3,3,3,3,3,3,1,3,3,0
66,4,1,1,3,2,3,1,4,2,4,4,1,2,4,3,4,1,3,2,3,3,3,1,1,2,4,4,1,1,3,4,3,2,2,3,2,3,1,4,3,2,3,2,1,4,1,3,3,4,2,2,4,1,2,3,4,3,3,4,4,1,4,3,1,4,4,3,2,3,2,1,3,1,4,4
67,1,4,1,4,2,1,4,1,1,0,1,0,4,1,4,1,2,1,1,0,4,0,1,0,1,1,1,1,4,1,1,0,0,3,4,1,0,1,1,1,1,1,0,4,4,1,3,0,0,3,0,2,4,2,1,1,4,3,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,4,1
68,2,4,4,2,3,0,4,4,4,4,4,1,3,3,4,1,3,0,1,3,3,0,4,0,1,4,3,4,3,0,1,3,4,1,4,4,4,3,4,3,2,1,3,4,2,3,2,3,4,3,4,3,4,2,3,4,4,3,3,3,2,4,1,4,4,3,0,3,4,4,1,3,4,0,4
69,4,4,2,1,1,1,4,1,1,4,1,4,2,1,4,2,1,2,4,2,1,1,0,1,1,1,1,4,1,2,2,4,1,2,0,4,4,0,2,1,1,1,2,1,1,2,2,0,3,1,4,1,4,4,1,1,1,4,0,1,1,1,1,1,2,1,4,1,2,1,3,0,1,1,0
70,2,0,0,0,2,3,1,1,0,0,2,0,0,0,4,3,0,1,0,3,1,1,4,0,0,1,0,3,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,2,4,0,0,2,0,0,0,0,2,2,0,0,0,0,3,0,2,4,3,0,0,1,0,3,1,4,1,0,0,1,2
71,2,0,0,4,0,4,4,2,0,2,0,4,0,4,0,4,0,4,0,2,0,0,4,0,4,0,0,0,4,0,0,4,4,4,0,0,0,4,0,2,4,0,4,0,4,2,4,0,4,3,0,2,0,3,4,3,3,3,0,4,0,0,0,2,0,0,2,3,0,0,0,3,4,0,4
72,3,3,3,3,3,4,0,3,3,3,3,3,3,1,3,3,3,3,4,0,3,0,0,3,3,0,3,3,4,4,4,3,3,1,4,3,3,3,3,1,4,3,3,4,3,3,4,3,0,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
73,2,2,4,4,3,3,2,2,2,2,4,4,4,0,3,4,2,0,4,4,4,4,4,2,0,4,4,3,2,4,0,0,4,4,0,2,4,2,4,0,2,0,2,0,2,2,3,4,0,4,4,0,4,0,4,4,4,1,4,0,4,4,2,0,4,4,0,0,4,4,0,0,4,4,3
74,4,4,2,4,3,3,2,0,4,4,4,2,2,2,2,4,4,4,0,0,4,4,0,4,2,2,2,2,3,2,0,0,3,1,3,2,1,4,4,1,4,3,2,4,4,2,4,2,4,3,4,3,4,1,0,4,4,2,2,4,0,2,4,4,1,2,0,2,4,2,2,0,0,4,4
75,3,1,2,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,3,0,0,0,1,1,1,3,0,1,1,3,1,1,1,1,0,2,1,1,0,3,1,2,0,1,3,0,1,0,1,3,0,0,0,0,1,0
76,3,3,0,0,3,3,3,3,0,0,3,0,0,3,3,3,1,3,0,3,3,3,0,0,3,3,3,0,3,3,4,0,3,3,0,3,0,0,0,3,3,4,3,3,3,0,1,1,3,3,3,0,1,0,0,3,0,3,3,0,0,3,0,3,2,0,1,0,0,3,3,3,1,3,3
77,4,4,2,4,3,4,3,4,4,3,3,1,3,3,1,2,3,4,4,4,4,1,4,3,4,4,4,1,1,1,4,4,1,1,2,4,1,1,3,3,4,3,1,4,4,4,1,3,1,4,2,1,4,2,3,4,1,0,4,3,4,4,0,4,1,4,2,4,4,3,4,4,4,3,1
78,1,1,1,0,1,0,4,2,0,1,4,0,4,0,1,0,1,4,4,0,4,4,4,3,1,1,3,0,4,2,1,0,1,1,1,0,1,1,1,3,0,1,3,0,0,1,3,1,4,1,1,4,4,4,1,0,0,0,1,0,1,1,0,4,4,1,0,0,1,3,4,4,0,1,0
79,0,2,0,0,1,3,4,4,4,4,2,1,0,3,2,0,4,0,2,2,4,1,3,2,4,1,0,0,0,1,4,1,4,2,2,2,1,4,0,2,0,0,4,4,0,1,0,1,2,0,4,2,4,2,3,2,1,1,2,0,1,4,0,1,4,4,1,2,4,0,1,4,2,1,2
80,0,2,3,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,3,0,0,0,0,0,2,2,0,4,0,3,0,0,0,2,2,2,3,0,0,0,0,3,0,2,0,2,0,0,0,0,2,1,0
81,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,4,0,1,3,4,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,4,0,0,4,4,0,4,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,4
82,2,2,2,0,2,2,1,2,0,0,2,1,2,2,0,2,2,2,2,2,0,2,0,2,1,0,0,0,1,0,2,2,0,1,2,0,0,0,2,0,1,0,2,0,2,0,4,2,1,2,2,2,1,0,2,2,0,2,2,0,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2
83,2,3,2,3,0,4,2,4,2,3,3,2,2,4,3,0,0,3,0,3,4,4,2,2,4,2,0,1,3,1,3,0,2,2,3,0,2,1,0,3,3,0,0,3,4,0,0,0,3,3,0,0,2,0,3,3,4,0,0,4,3,2,3,2,0,0,3,4,3,2,0,4,0,4,0
84,4,4,4,4,4,4,4,3,0,4,3,3,4,4,3,4,4,4,4,0,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,3,3,3,4,4,4,3,2,4,1,4,4,2,3,4,4,4,0,2,3,4,4,3,4,3,4,4,4,4,4,4,4
85,0,2,3,3,0,0,2,3,2,0,2,3,1,2,0,1,2,0,0,3,0,4,3,0,0,0,3,2,0,0,3,3,0,3,0,0,2,0,0,0,3,2,3,0,0,0,0,4,0,2,0,2,2,4,0,0,3,0,0,0,0,4,0,3,0,3,2,3,4,0,0,0,0,0,3
86,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,4,2,2,2,1,1,4,2,4,2,2,2,2,2,2,2,4,1,2,2,4,2,2,2,3,2,1,3,4,2,1,2,2,2,2,1,1,1,2,0,2,4,4,1,2,4,4,2,2,2,4,2,2,2,2,4,1,2,3,2
87,1,4,1,1,1,3,0,1,3,1,3,3,1,3,1,1,1,3,3,1,3,3,4,1,1,0,1,3,4,3,4,1,1,0,4,4,3,1,1,1,1,1,0,2,3,3,4,1,3,1,1,0,3,0,1,4,1,4,1,3,3,0,1,3,3,0,1,3,0,3,2,3,0,1,4
88,0,4,0,0,0,4,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,4,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,4,0,0,1,4,0,0,0,4,0,0
